net_name,layer_name,fused_layer_type,in_mem,weight_mem,out_mem,operations,tp,batch_size,sequence_length
efficientnet_b0,layer2_features_1_0_block_0_0,middle,0.0,1e-09,0.0,115605504,2,32,1
efficientnet_b0,layer2_features_1_0_block_0_0,end,0.0,1e-09,0.012845056,115605504,2,32,1
efficientnet_b0,layer2_features_1_0_block_0_0,single,1e-09,1e-09,0.012845056,115605504,2,32,1
efficientnet_b0,layer3_features_1_0_block_1_fc1,start,1e-09,1e-09,0.0,256,1,1,1
efficientnet_b0,layer3_features_1_0_block_1_fc1,middle,0.0,1e-09,0.0,256,1,1,1
efficientnet_b0,layer3_features_1_0_block_1_fc1,end,0.0,1e-09,8e-09,256,1,1,1
efficientnet_b0,layer3_features_1_0_block_1_fc1,single,1e-09,1e-09,8e-09,256,1,1,1
efficientnet_b0,layer3_features_1_0_block_1_fc1,start,1e-09,1e-09,0.0,8192,1,32,1
efficientnet_b0,layer3_features_1_0_block_1_fc1,middle,0.0,1e-09,0.0,8192,1,32,1
efficientnet_b0,layer3_features_1_0_block_1_fc1,end,0.0,1e-09,2.56e-07,8192,1,32,1
efficientnet_b0,layer3_features_1_0_block_1_fc1,single,1e-09,1e-09,2.56e-07,8192,1,32,1
efficientnet_b0,layer3_features_1_0_block_1_fc1,start,1e-09,1e-09,0.0,128,2,1,1
efficientnet_b0,layer3_features_1_0_block_1_fc1,middle,0.0,1e-09,0.0,128,2,1,1
efficientnet_b0,layer3_features_1_0_block_1_fc1,end,0.0,1e-09,4e-09,128,2,1,1
efficientnet_b0,layer3_features_1_0_block_1_fc1,single,1e-09,1e-09,4e-09,128,2,1,1
efficientnet_b0,layer3_features_1_0_block_1_fc1,start,1e-09,1e-09,0.0,4096,2,32,1
efficientnet_b0,layer3_features_1_0_block_1_fc1,middle,0.0,1e-09,0.0,4096,2,32,1
efficientnet_b0,layer3_features_1_0_block_1_fc1,end,0.0,1e-09,1.28e-07,4096,2,32,1
efficientnet_b0,layer3_features_1_0_block_1_fc1,single,1e-09,1e-09,1.28e-07,4096,2,32,1
efficientnet_b0,layer4_features_1_0_block_1_fc2,start,1e-09,1e-09,0.0,256,1,1,1
