metric,objective,cost_aware,config,network,category,value
Energy,energy,False,w/o Tensor Parallelism,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.0838735311475229
Energy,energy,False,w/o Tensor Parallelism,mobilenet_v3_small_b1_seq1,cnn,4.896642643368916e-05
Energy,energy,False,w/o Tensor Parallelism,mobilenet_v3_small_b8_seq1,cnn,0.00037465701495849703
Energy,energy,False,w/o Tensor Parallelism,replknet31b_b1_seq1,cnn,0.0027206970617051503
Energy,energy,False,w/o Tensor Parallelism,replknet31b_b8_seq1,cnn,0.020354624167141525
Energy,energy,False,w/o Layer Fusion,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.273706475597563
Energy,energy,False,w/o Layer Fusion,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.111974349742704
Energy,energy,False,w/o Layer Fusion,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.0022622222136525426
Energy,energy,False,w/o Layer Fusion,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.017952587490875326
Energy,energy,False,w/o Layer Fusion,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.044585303371926
Energy,energy,False,w/o Layer Fusion,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.063557767566401
Energy,energy,False,w/o Layer Fusion,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.0064823333384249684
Energy,energy,False,w/o Layer Fusion,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05216868097686084
Energy,energy,False,w/o Layer Fusion,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.039363922614758025
Energy,energy,False,w/o Layer Fusion,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.3134841295398976
Energy,energy,False,w/o Layer Fusion,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.003786602613160759
Energy,energy,False,w/o Layer Fusion,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.02334163184616802
Energy,energy,False,w/o Layer Fusion,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.12745077978141128
Energy,energy,False,w/o Layer Fusion,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.013838024770751
Energy,energy,False,w/o Layer Fusion,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.010796570463193383
Energy,energy,False,w/o Layer Fusion,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.0838735311475229
Energy,energy,False,w/o Layer Fusion,mobilenet_v3_small_b1_seq1,cnn,8.311443126430602e-05
Energy,energy,False,w/o Layer Fusion,mobilenet_v3_small_b8_seq1,cnn,0.0006952757269070681
Energy,energy,False,w/o Layer Fusion,replknet31b_b1_seq1,cnn,0.003580384042265531
Energy,energy,False,w/o Layer Fusion,replknet31b_b8_seq1,cnn,0.028702209710434023
Energy,energy,False,w/o Near-bank PIM,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.2727417917439938
Energy,energy,False,w/o Near-bank PIM,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.0845555207317155
Energy,energy,False,w/o Near-bank PIM,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.014521610578093305
Energy,energy,False,w/o Near-bank PIM,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.019571556921636795
Energy,energy,False,w/o Near-bank PIM,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0409629392838502
Energy,energy,False,w/o Near-bank PIM,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,7.960413457855175
Energy,energy,False,w/o Near-bank PIM,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.056845442005298695
Energy,energy,False,w/o Near-bank PIM,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.07259869851952495
Energy,energy,False,w/o Near-bank PIM,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.039363922614758025
Energy,energy,False,w/o Near-bank PIM,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.3134841295398976
Energy,energy,False,w/o Near-bank PIM,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.004155872310731409
Energy,energy,False,w/o Near-bank PIM,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.02401943146972017
Energy,energy,False,w/o Near-bank PIM,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.12745077978141128
Energy,energy,False,w/o Near-bank PIM,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.013838024770751
