metric,objective,cost_aware,config,mem,batch,tp,fusion,network,category,value
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.28626909572843695
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.2449422164777784
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.0022389844705535894
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.017460755013994016
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.091776068879595
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.440531652225186
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006547960476079382
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.051899446036882395
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.0477682390196477
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.3469078060987861
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.005078947841948631
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.0297828924729995
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.16285827440683265
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.123986189789674
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.01395679533087614
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.11044364918393074
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,mobilenet_v3_small_b1_seq1,cnn,5.449609973385528e-05
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,mobilenet_v3_small_b8_seq1,cnn,0.00040499296950339316
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,replknet31b_b1_seq1,cnn,0.00283371798970525
Energy,energy,False,w/o Mem+Batch+Tp,0,0,0,1,replknet31b_b8_seq1,cnn,0.020925880679141633
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.30331626691680214
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.195249565403049
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.002300553662198998
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.017986226651228773
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0980220201515418
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.65602247117626
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006580085953791169
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.052343007320793604
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.044869318880776624
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.344565255209951
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.005078947841948631
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.0297828924729995
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.14437001694277543
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.0718216768442235
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.01395679533087614
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.11044364918393074
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,mobilenet_v3_small_b1_seq1,cnn,9.801004906323438e-05
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,mobilenet_v3_small_b8_seq1,cnn,0.0007660633704731022
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,replknet31b_b1_seq1,cnn,0.00387484550242149
Energy,energy,False,w/o Mem+Batch+Fusion,0,0,1,0,replknet31b_b8_seq1,cnn,0.032219641916771326
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.30009707219511933
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.3067825105220234
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.0022622222136525426
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.017835169799923774
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0921935082341339
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.65602247117626
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.0064823333384249684
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.05204089361817855
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.047000388630578
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.3469078060987861
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.00504081351185243
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.029745128260169496
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.16097438644846454
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.123986189789674
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.013866388471048433
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.11036812075828084
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,mobilenet_v3_small_b1_seq1,cnn,9.801004906323438e-05
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,mobilenet_v3_small_b8_seq1,cnn,0.0007660633704731022
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,replknet31b_b1_seq1,cnn,0.00387484550242149
Energy,energy,False,w/o Mem+Tp+Fusion,0,1,0,0,replknet31b_b8_seq1,cnn,0.032219641916771326
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.27433512713053065
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.2438890531140228
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.002300553662198998
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.017986226651228773
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0623232503614313
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.461589795135522
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006580085953791169
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.052343007320793604
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.04461988957964849
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.3282839166907932
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.003757406904014574
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.023101591413227183
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.13326829887920746
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.0690383825576795
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.010787141086849025
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.08315714609478762
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,mobilenet_v3_small_b1_seq1,cnn,8.311289706323438e-05
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,mobilenet_v3_small_b8_seq1,cnn,0.0006438140264731021
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,replknet31b_b1_seq1,cnn,0.0035879514224212896
Energy,energy,False,w/o Batch+Tp+Fusion,1,0,0,0,replknet31b_b8_seq1,cnn,0.02998131263677132
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.30331626691680214
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.3067825105220234
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.002300553662198998
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.017986226651228773
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.0980220201515418
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,8.65602247117626
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006580085953791169
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.052343007320793604
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.0477682390196477
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.3469078060987861
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.005078947841948631
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.0297828924729995
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.16285827440683265
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,1.123986189789674
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.01395679533087614
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.11044364918393074
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,mobilenet_v3_small_b1_seq1,cnn,9.801004906323438e-05
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,mobilenet_v3_small_b8_seq1,cnn,0.0007660633704731022
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,replknet31b_b1_seq1,cnn,0.00387484550242149
Energy,energy,False,w/o Mem+Batch+Tp+Fusion,0,0,0,0,replknet31b_b8_seq1,cnn,0.032219641916771326
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,22.315205433419933
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,274.8188843274165
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.2268313621960487
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,llama3.1_8b_decode_kv1024_b8_seq1,decode,4.31035111568372
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,88.77324140913306
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,942.8983850092517
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.6612004117506934
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,llama3.1_70b_decode_kv1024_b8_seq1,decode,10.05040205680822
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,3.6676041651794904
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,84.42162973947886
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.4955481363105974
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,5.672456385963399
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,12.002619625481904
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,220.72673536062095
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,1.3970689730340762
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,16.898946708659718
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,mobilenet_v3_small_b1_seq1,cnn,0.0038188946092666135
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,mobilenet_v3_small_b8_seq1,cnn,0.026374049316057836
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,replknet31b_b1_seq1,cnn,0.1622931771358099
Energy x Cost,energy,True,Full Fengshui,1,1,1,1,replknet31b_b8_seq1,cnn,1.1765009492634384
Energy x Cost,energy,True,w/o Mem,0,1,1,1,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,36.3399670971898
Energy x Cost,energy,True,w/o Mem,0,1,1,1,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,434.68157305907
Energy x Cost,energy,True,w/o Mem,0,1,1,1,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.2268313621960487
Energy x Cost,energy,True,w/o Mem,0,1,1,1,llama3.1_8b_decode_kv1024_b8_seq1,decode,4.31035111568372
Energy x Cost,energy,True,w/o Mem,0,1,1,1,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,149.68071449582862
Energy x Cost,energy,True,w/o Mem,0,1,1,1,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,1782.2876617176992
Energy x Cost,energy,True,w/o Mem,0,1,1,1,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.6612004117506934
Energy x Cost,energy,True,w/o Mem,0,1,1,1,llama3.1_70b_decode_kv1024_b8_seq1,decode,10.05040205680822
Energy x Cost,energy,True,w/o Mem,0,1,1,1,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,4.989347030481897
Energy x Cost,energy,True,w/o Mem,0,1,1,1,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,117.64769975005291
Energy x Cost,energy,True,w/o Mem,0,1,1,1,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.5416768376191171
Energy x Cost,energy,True,w/o Mem,0,1,1,1,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,5.9318285479419774
Energy x Cost,energy,True,w/o Mem,0,1,1,1,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,17.16923778478413
Energy x Cost,energy,True,w/o Mem,0,1,1,1,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,315.19300033720174
Energy x Cost,energy,True,w/o Mem,0,1,1,1,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,1.5135837125107587
Energy x Cost,energy,True,w/o Mem,0,1,1,1,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,17.94115117143459
Energy x Cost,energy,True,w/o Mem,0,1,1,1,mobilenet_v3_small_b1_seq1,cnn,0.006263750881775028
Energy x Cost,energy,True,w/o Mem,0,1,1,1,mobilenet_v3_small_b8_seq1,cnn,0.046501767207181466
Energy x Cost,energy,True,w/o Mem,0,1,1,1,replknet31b_b1_seq1,cnn,0.33393823317294713
Energy x Cost,energy,True,w/o Mem,0,1,1,1,replknet31b_b8_seq1,cnn,2.4835234674122915
Energy x Cost,energy,True,w/o Batch,1,0,1,1,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,22.403490265858913
Energy x Cost,energy,True,w/o Batch,1,0,1,1,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,274.9588199625528
Energy x Cost,energy,True,w/o Batch,1,0,1,1,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.22880560539635497
Energy x Cost,energy,True,w/o Batch,1,0,1,1,llama3.1_8b_decode_kv1024_b8_seq1,decode,4.313595560876881
Energy x Cost,energy,True,w/o Batch,1,0,1,1,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,88.93808285964869
Energy x Cost,energy,True,w/o Batch,1,0,1,1,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,942.9391792237035
Energy x Cost,energy,True,w/o Batch,1,0,1,1,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.6662349559102333
Energy x Cost,energy,True,w/o Batch,1,0,1,1,llama3.1_70b_decode_kv1024_b8_seq1,decode,10.056890947194454
Energy x Cost,energy,True,w/o Batch,1,0,1,1,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,3.692083280391657
Energy x Cost,energy,True,w/o Batch,1,0,1,1,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,84.42162973947886
Energy x Cost,energy,True,w/o Batch,1,0,1,1,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.4963735845239802
Energy x Cost,energy,True,w/o Batch,1,0,1,1,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,5.673267497261622
Energy x Cost,energy,True,w/o Batch,1,0,1,1,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,12.052893001233562
Energy x Cost,energy,True,w/o Batch,1,0,1,1,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,220.72673536062095
Energy x Cost,energy,True,w/o Batch,1,0,1,1,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,1.3987196133005344
Energy x Cost,energy,True,w/o Batch,1,0,1,1,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,16.900568931256252
Energy x Cost,energy,True,w/o Batch,1,0,1,1,mobilenet_v3_small_b1_seq1,cnn,0.0038188946092666135
Energy x Cost,energy,True,w/o Batch,1,0,1,1,mobilenet_v3_small_b8_seq1,cnn,0.026374049316057836
Energy x Cost,energy,True,w/o Batch,1,0,1,1,replknet31b_b1_seq1,cnn,0.1622931771358099
Energy x Cost,energy,True,w/o Batch,1,0,1,1,replknet31b_b8_seq1,cnn,1.1765009492634384
Energy x Cost,energy,True,w/o Tp,1,1,0,1,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,22.315205433419933
Energy x Cost,energy,True,w/o Tp,1,1,0,1,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,274.8188843274165
Energy x Cost,energy,True,w/o Tp,1,1,0,1,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.2268313621960487
Energy x Cost,energy,True,w/o Tp,1,1,0,1,llama3.1_8b_decode_kv1024_b8_seq1,decode,4.31035111568372
Energy x Cost,energy,True,w/o Tp,1,1,0,1,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,88.77324140913306
Energy x Cost,energy,True,w/o Tp,1,1,0,1,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,942.8983850092517
Energy x Cost,energy,True,w/o Tp,1,1,0,1,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.6612004117506934
Energy x Cost,energy,True,w/o Tp,1,1,0,1,llama3.1_70b_decode_kv1024_b8_seq1,decode,10.05040205680822
Energy x Cost,energy,True,w/o Tp,1,1,0,1,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,3.6676041651794904
Energy x Cost,energy,True,w/o Tp,1,1,0,1,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,84.42162973947886
Energy x Cost,energy,True,w/o Tp,1,1,0,1,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.4955481363105974
Energy x Cost,energy,True,w/o Tp,1,1,0,1,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,5.672456385963399
Energy x Cost,energy,True,w/o Tp,1,1,0,1,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,12.002619625481904
Energy x Cost,energy,True,w/o Tp,1,1,0,1,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,220.72673536062095
Energy x Cost,energy,True,w/o Tp,1,1,0,1,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,1.3970689730340762
Energy x Cost,energy,True,w/o Tp,1,1,0,1,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,16.898946708659718
Energy x Cost,energy,True,w/o Tp,1,1,0,1,mobilenet_v3_small_b1_seq1,cnn,0.0038188946092666135
Energy x Cost,energy,True,w/o Tp,1,1,0,1,mobilenet_v3_small_b8_seq1,cnn,0.026374049316057836
Energy x Cost,energy,True,w/o Tp,1,1,0,1,replknet31b_b1_seq1,cnn,0.1622931771358099
Energy x Cost,energy,True,w/o Tp,1,1,0,1,replknet31b_b8_seq1,cnn,1.1765009492634384
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,22.642971493684687
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,295.64993444333936
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.23039156949085526
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,llama3.1_8b_decode_kv1024_b8_seq1,decode,4.489054826346568
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,100.89596614940214
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,1027.7402912056698
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.6612004117506934
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,llama3.1_70b_decode_kv1024_b8_seq1,decode,10.418068453307285
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,3.6676041651794904
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,84.42162973947886
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.4955481363105974
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,5.672456385963399
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,12.002619625481904
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,220.72673536062095
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,1.3970689730340762
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,16.898946708659718
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,mobilenet_v3_small_b1_seq1,cnn,0.009078489150219061
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,mobilenet_v3_small_b8_seq1,cnn,0.07582858344272721
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,replknet31b_b1_seq1,cnn,0.2151847026649446
Energy x Cost,energy,True,w/o Fusion,1,1,1,0,replknet31b_b8_seq1,cnn,1.6729024825396892
Energy x Cost,energy,True,w/o Mem+Batch,0,0,1,1,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,36.419570410302214
Energy x Cost,energy,True,w/o Mem+Batch,0,0,1,1,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,434.9141115670229
Energy x Cost,energy,True,w/o Mem+Batch,0,0,1,1,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.22880560539635497
Energy x Cost,energy,True,w/o Mem+Batch,0,0,1,1,llama3.1_8b_decode_kv1024_b8_seq1,decode,4.313595560876881
Energy x Cost,energy,True,w/o Mem+Batch,0,0,1,1,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,149.81951138836456
Energy x Cost,energy,True,w/o Mem+Batch,0,0,1,1,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,1782.305305213947
Energy x Cost,energy,True,w/o Mem+Batch,0,0,1,1,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.6662349559102333
