metric,objective,cost_aware,framework,network,category,value
EDP,edp,False,Fengshui (Full),llama3.1_70b_prefill_s1024_b8_seq1024,prefill,0.14256089838845293
EDP,edp,False,Fengshui (Full),llama3.1_70b_decode_kv1024_b1_seq1,decode,1.6186985414918802e-07
EDP,edp,False,Fengshui (Full),llama3.1_70b_decode_kv1024_b8_seq1,decode,1.0559406815407855e-05
EDP,edp,False,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,1.2798971264741874e-05
EDP,edp,False,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.0002984054264505237
EDP,edp,False,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,5.622217237288215e-07
EDP,edp,False,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,4.9656155940808975e-06
EDP,edp,False,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,7.48365486912162e-05
EDP,edp,False,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,0.0035035579016987357
EDP,edp,False,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,3.7470274831048083e-07
EDP,edp,False,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,7.42316797259462e-05
EDP,edp,False,Fengshui (Full),mobilenet_v3_small_b1_seq1,cnn,2.3474437813306373e-10
EDP,edp,False,Fengshui (Full),mobilenet_v3_small_b8_seq1,cnn,1.2233547388076132e-08
EDP,edp,False,Fengshui (Full),replknet31b_b1_seq1,cnn,6.259917261853028e-07
EDP,edp,False,Fengshui (Full),replknet31b_b8_seq1,cnn,2.773779788466969e-05
EDP,edp,False,SCAR-style,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.0022735250535003532
EDP,edp,False,SCAR-style,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,0.14579641495131512
EDP,edp,False,SCAR-style,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.00043171782613474186
EDP,edp,False,SCAR-style,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.0005303568353752645
EDP,edp,False,SCAR-style,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,0.0523288641706015
EDP,edp,False,SCAR-style,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,0.9892148482090647
EDP,edp,False,SCAR-style,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.006733206699176232
EDP,edp,False,SCAR-style,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.00789307554820448
EDP,edp,False,SCAR-style,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.00029673794070428675
EDP,edp,False,SCAR-style,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.008223476470326946
EDP,edp,False,SCAR-style,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,2.6649548977538374e-05
EDP,edp,False,SCAR-style,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.001558602957585493
EDP,edp,False,SCAR-style,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,0.0021087263276045125
EDP,edp,False,SCAR-style,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,0.07947121972275853
EDP,edp,False,SCAR-style,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,0.00039405645693805754
EDP,edp,False,SCAR-style,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,0.023254845766457036
EDP,edp,False,SCAR-style,mobilenet_v3_small_b1_seq1,cnn,5.917390339778174e-09
EDP,edp,False,SCAR-style,mobilenet_v3_small_b8_seq1,cnn,7.909863690632532e-08
EDP,edp,False,SCAR-style,replknet31b_b1_seq1,cnn,3.3890072544548062e-06
EDP,edp,False,SCAR-style,replknet31b_b8_seq1,cnn,0.00016079176512384975
EDP x Cost,edp,True,Fengshui (Full),llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.042827019268372596
EDP x Cost,edp,True,Fengshui (Full),llama3.1_8b_prefill_s1024_b8_seq1024,prefill,1.9554523636967112
EDP x Cost,edp,True,Fengshui (Full),llama3.1_8b_decode_kv1024_b1_seq1,decode,3.011339051666872e-06
EDP x Cost,edp,True,Fengshui (Full),llama3.1_8b_decode_kv1024_b8_seq1,decode,0.00040280480488407827
EDP x Cost,edp,True,Fengshui (Full),llama3.1_70b_prefill_s1024_b1_seq1024,prefill,0.8467367130071645
EDP x Cost,edp,True,Fengshui (Full),llama3.1_70b_prefill_s1024_b8_seq1024,prefill,31.046875695673613
EDP x Cost,edp,True,Fengshui (Full),llama3.1_70b_decode_kv1024_b1_seq1,decode,2.8035747951273957e-05
EDP x Cost,edp,True,Fengshui (Full),llama3.1_70b_decode_kv1024_b8_seq1,decode,0.002668261938854471
EDP x Cost,edp,True,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,0.0032508224224930384
EDP x Cost,edp,True,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,0.22602017203007094
EDP x Cost,edp,True,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.00015912889711021684
EDP x Cost,edp,True,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,0.0018649257399288024
