metric,objective,cost_aware,config,network,category,value
Energy x Cost,energy,True,Full Fengshui,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,220.72673536062095
Energy x Cost,energy,True,Full Fengshui,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,1.3970689730340762
Energy x Cost,energy,True,Full Fengshui,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,16.898946708659718
Energy x Cost,energy,True,Full Fengshui,mobilenet_v3_small_b1_seq1,cnn,0.0038188946092666135
Energy x Cost,energy,True,Full Fengshui,mobilenet_v3_small_b8_seq1,cnn,0.026374049316057836
Energy x Cost,energy,True,Full Fengshui,replknet31b_b1_seq1,cnn,0.1622931771358099
Energy x Cost,energy,True,Full Fengshui,replknet31b_b8_seq1,cnn,1.1765009492634384
Energy x Cost,energy,True,w/o Heterogeneous Batching,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,22.403490265858913
Energy x Cost,energy,True,w/o Heterogeneous Batching,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,274.9588199625528
Energy x Cost,energy,True,w/o Heterogeneous Batching,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.22880560539635497
Energy x Cost,energy,True,w/o Heterogeneous Batching,llama3.1_8b_decode_kv1024_b8_seq1,decode,4.313595560876881
Energy x Cost,energy,True,w/o Heterogeneous Batching,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,88.93808285964869
Energy x Cost,energy,True,w/o Heterogeneous Batching,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,942.9391792237035
Energy x Cost,energy,True,w/o Heterogeneous Batching,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.6662349559102333
Energy x Cost,energy,True,w/o Heterogeneous Batching,llama3.1_70b_decode_kv1024_b8_seq1,decode,10.056890947194454
Energy x Cost,energy,True,w/o Heterogeneous Batching,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill,3.692083280391657
Energy x Cost,energy,True,w/o Heterogeneous Batching,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill,84.42162973947886
Energy x Cost,energy,True,w/o Heterogeneous Batching,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode,0.4963735845239802
Energy x Cost,energy,True,w/o Heterogeneous Batching,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode,5.673267497261622
Energy x Cost,energy,True,w/o Heterogeneous Batching,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill,12.052893001233562
Energy x Cost,energy,True,w/o Heterogeneous Batching,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill,220.72673536062095
Energy x Cost,energy,True,w/o Heterogeneous Batching,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode,1.3987196133005344
Energy x Cost,energy,True,w/o Heterogeneous Batching,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode,16.900568931256252
Energy x Cost,energy,True,w/o Heterogeneous Batching,mobilenet_v3_small_b1_seq1,cnn,0.0038188946092666135
Energy x Cost,energy,True,w/o Heterogeneous Batching,mobilenet_v3_small_b8_seq1,cnn,0.026374049316057836
Energy x Cost,energy,True,w/o Heterogeneous Batching,replknet31b_b1_seq1,cnn,0.1622931771358099
Energy x Cost,energy,True,w/o Heterogeneous Batching,replknet31b_b8_seq1,cnn,1.1765009492634384
