metric,objective,cost_aware,framework,network,category,value
Energy x Cost,energy,True,Gemini-style,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode-MoE,2.3713238955560256
Energy x Cost,energy,True,Gemini-style,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,63.114619660582896
Energy x Cost,energy,True,Gemini-style,mobilenet_v3_small_b1_seq1,cnn,0.00930916267002591
Energy x Cost,energy,True,Gemini-style,mobilenet_v3_small_b8_seq1,cnn,0.07332069524096835
Energy x Cost,energy,True,Gemini-style,replknet31b_b1_seq1,cnn,0.44427476086547174
Energy x Cost,energy,True,Gemini-style,replknet31b_b8_seq1,cnn,3.3808428011332063
EDP,edp,False,Fengshui (Full),llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.0001301897311763192
EDP,edp,False,Fengshui (Full),llama3.1_8b_prefill_s1024_b8_seq1024,prefill,0.00813585977501676
EDP,edp,False,Fengshui (Full),llama3.1_8b_decode_kv1024_b1_seq1,decode,3.9370491538836114e-08
EDP,edp,False,Fengshui (Full),llama3.1_8b_decode_kv1024_b8_seq1,decode,1.3432125961212e-06
EDP,edp,False,Fengshui (Full),llama3.1_70b_prefill_s1024_b1_seq1024,prefill,0.0020040510982519727
EDP,edp,False,Fengshui (Full),llama3.1_70b_prefill_s1024_b8_seq1024,prefill,0.12439633801678437
EDP,edp,False,Fengshui (Full),llama3.1_70b_decode_kv1024_b1_seq1,decode,2.0461578924138415e-07
EDP,edp,False,Fengshui (Full),llama3.1_70b_decode_kv1024_b8_seq1,decode,1.0259533745530329e-05
EDP,edp,False,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill-MoE,4.329723824250374e-06
EDP,edp,False,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill-MoE,0.00017127598640942815
EDP,edp,False,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b1_seq1,decode-MoE,2.2938636669635308e-07
EDP,edp,False,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b8_seq1,decode-MoE,1.4718674516556203e-06
EDP,edp,False,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill-MoE,4.442891097749901e-05
EDP,edp,False,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill-MoE,0.0021229649582899606
EDP,edp,False,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b1_seq1,decode-MoE,3.322418085517818e-07
EDP,edp,False,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,2.0521824217218377e-05
EDP,edp,False,Fengshui (Full),mobilenet_v3_small_b1_seq1,cnn,1.3109355308607232e-10
EDP,edp,False,Fengshui (Full),mobilenet_v3_small_b8_seq1,cnn,7.068905534264046e-09
EDP,edp,False,Fengshui (Full),replknet31b_b1_seq1,cnn,5.59991318227939e-07
EDP,edp,False,Fengshui (Full),replknet31b_b8_seq1,cnn,1.9854715902964524e-05
EDP,edp,False,SCAR-style,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.0006052809387856806
EDP,edp,False,SCAR-style,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,0.03564908476711994
EDP,edp,False,SCAR-style,llama3.1_8b_decode_kv1024_b1_seq1,decode,1.4876318785026201e-05
EDP,edp,False,SCAR-style,llama3.1_8b_decode_kv1024_b8_seq1,decode,2.012676314435984e-05
EDP,edp,False,SCAR-style,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,0.009515784840630509
EDP,edp,False,SCAR-style,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,0.5218220423743084
EDP,edp,False,SCAR-style,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.00023248988829951958
EDP,edp,False,SCAR-style,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.0003031057318895033
EDP,edp,False,SCAR-style,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill-MoE,1.6979464810308737e-05
EDP,edp,False,SCAR-style,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill-MoE,0.000845640696056442
EDP,edp,False,SCAR-style,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode-MoE,9.003376234508135e-07
EDP,edp,False,SCAR-style,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode-MoE,5.92060761134973e-05
EDP,edp,False,SCAR-style,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill-MoE,0.00018792534441987798
EDP,edp,False,SCAR-style,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill-MoE,0.010767000308876073
EDP,edp,False,SCAR-style,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode-MoE,1.337636729390788e-05
EDP,edp,False,SCAR-style,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,0.0008945335859052386
EDP,edp,False,SCAR-style,mobilenet_v3_small_b1_seq1,cnn,3.3422802607279017e-09
EDP,edp,False,SCAR-style,mobilenet_v3_small_b8_seq1,cnn,3.772493291714419e-08
EDP,edp,False,SCAR-style,replknet31b_b1_seq1,cnn,2.481016571451181e-06
EDP,edp,False,SCAR-style,replknet31b_b8_seq1,cnn,0.00015189596605127157
EDP,edp,False,Gemini-style,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.0003534372585789265
EDP,edp,False,Gemini-style,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,0.01811495033766686
EDP,edp,False,Gemini-style,llama3.1_8b_decode_kv1024_b1_seq1,decode,3.9740038763114445e-05
EDP,edp,False,Gemini-style,llama3.1_8b_decode_kv1024_b8_seq1,decode,5.805422159557206e-05
EDP,edp,False,Gemini-style,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,0.00953039488969527
EDP,edp,False,Gemini-style,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,0.26712495481156495
EDP,edp,False,Gemini-style,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.0006307225869483294
EDP,edp,False,Gemini-style,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.0009110746618335569
EDP,edp,False,Gemini-style,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill-MoE,1.536283089650323e-05
EDP,edp,False,Gemini-style,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill-MoE,0.0007883601967259486
EDP,edp,False,Gemini-style,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode-MoE,2.132181444856133e-06
EDP,edp,False,Gemini-style,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode-MoE,0.0001953440150115744
EDP,edp,False,Gemini-style,qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill-MoE,0.00016066933639935052
EDP,edp,False,Gemini-style,qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill-MoE,0.01167048766470558
EDP,edp,False,Gemini-style,qwen3_235b_a22b_decode_kv1024_b1_seq1,decode-MoE,3.2959289168939384e-05
EDP,edp,False,Gemini-style,qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,0.0030676552024862572
EDP,edp,False,Gemini-style,mobilenet_v3_small_b1_seq1,cnn,1.562173632073208e-10
EDP,edp,False,Gemini-style,mobilenet_v3_small_b8_seq1,cnn,5.0448629887634765e-08
EDP,edp,False,Gemini-style,replknet31b_b1_seq1,cnn,7.67096692661635e-07
EDP,edp,False,Gemini-style,replknet31b_b8_seq1,cnn,4.990905129401272e-05
EDP x Cost,edp,True,Fengshui (Full),llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.038775627882769996
EDP x Cost,edp,True,Fengshui (Full),llama3.1_8b_prefill_s1024_b8_seq1024,prefill,2.008792922293753
EDP x Cost,edp,True,Fengshui (Full),llama3.1_8b_decode_kv1024_b1_seq1,decode,4.343020711743431e-06
EDP x Cost,edp,True,Fengshui (Full),llama3.1_8b_decode_kv1024_b8_seq1,decode,0.00040748084553943686
EDP x Cost,edp,True,Fengshui (Full),llama3.1_70b_prefill_s1024_b1_seq1024,prefill,0.7719821739556976
EDP x Cost,edp,True,Fengshui (Full),llama3.1_70b_prefill_s1024_b8_seq1024,prefill,38.22826785105346
EDP x Cost,edp,True,Fengshui (Full),llama3.1_70b_decode_kv1024_b1_seq1,decode,2.8456577035634793e-05
EDP x Cost,edp,True,Fengshui (Full),llama3.1_70b_decode_kv1024_b8_seq1,decode,0.002696081120437637
EDP x Cost,edp,True,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill-MoE,0.0011215475571909387
EDP x Cost,edp,True,Fengshui (Full),qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill-MoE,0.10233462378342638
EDP x Cost,edp,True,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b1_seq1,decode-MoE,8.325942522354318e-05
EDP x Cost,edp,True,Fengshui (Full),qwen3_30b_a3b_decode_kv1024_b8_seq1,decode-MoE,0.0009132598821098237
EDP x Cost,edp,True,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b1_seq1024,prefill-MoE,0.013822713437360612
EDP x Cost,edp,True,Fengshui (Full),qwen3_235b_a22b_prefill_s1024_b8_seq1024,prefill-MoE,1.0836057173259597
EDP x Cost,edp,True,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b1_seq1,decode-MoE,5.445093864193522e-05
EDP x Cost,edp,True,Fengshui (Full),qwen3_235b_a22b_decode_kv1024_b8_seq1,decode-MoE,0.010912334520725977
EDP x Cost,edp,True,Fengshui (Full),mobilenet_v3_small_b1_seq1,cnn,1.628963066319379e-08
EDP x Cost,edp,True,Fengshui (Full),mobilenet_v3_small_b8_seq1,cnn,9.522031384137261e-07
EDP x Cost,edp,True,Fengshui (Full),replknet31b_b1_seq1,cnn,3.684822009660321e-05
EDP x Cost,edp,True,Fengshui (Full),replknet31b_b8_seq1,cnn,0.0013838377853953227
EDP x Cost,edp,True,SCAR-style,llama3.1_8b_prefill_s1024_b1_seq1024,prefill,0.0945713792805999
EDP x Cost,edp,True,SCAR-style,llama3.1_8b_prefill_s1024_b8_seq1024,prefill,7.833906714104249
EDP x Cost,edp,True,SCAR-style,llama3.1_8b_decode_kv1024_b1_seq1,decode,0.001610936150736144
EDP x Cost,edp,True,SCAR-style,llama3.1_8b_decode_kv1024_b8_seq1,decode,0.005927354345870256
EDP x Cost,edp,True,SCAR-style,llama3.1_70b_prefill_s1024_b1_seq1024,prefill,1.5076612556918896
EDP x Cost,edp,True,SCAR-style,llama3.1_70b_prefill_s1024_b8_seq1024,prefill,108.5945383769904
EDP x Cost,edp,True,SCAR-style,llama3.1_70b_decode_kv1024_b1_seq1,decode,0.02531598376042072
EDP x Cost,edp,True,SCAR-style,llama3.1_70b_decode_kv1024_b8_seq1,decode,0.08136723434037998
EDP x Cost,edp,True,SCAR-style,qwen3_30b_a3b_prefill_s1024_b1_seq1024,prefill-MoE,0.0024956577222188564
EDP x Cost,edp,True,SCAR-style,qwen3_30b_a3b_prefill_s1024_b8_seq1024,prefill-MoE,0.31518188532235497
EDP x Cost,edp,True,SCAR-style,qwen3_30b_a3b_decode_kv1024_b1_seq1,decode-MoE,9.52655136917729e-05
EDP x Cost,edp,True,SCAR-style,qwen3_30b_a3b_decode_kv1024_b8_seq1,decode-MoE,0.019784027609624
